state	joint	prior	likelihood	Current Tree	location.clock.rate	location.meanRate	location.rates.UK.nonUK	location.rates.nonUK.UK	location.branchRates	c_location.count[1]	c_import.count[1]	c_export.count[1]	c_allTransitions[1]
1957500	-440.2066159254018	-30.501503586940956	-409.7051123384609	261.0	0.2697905894343752	0.2697905894343746	0.17623347674435566	1.4441841858330389	0.0	76.0	72.0	4.0	76.0
1962000	-440.9754370752047	-30.486910222699475	-410.48852685250523	357.0	0.2514137577124062	0.2514137577124056	0.21935601795792828	2.46794920393587	0.0	77.0	75.0	2.0	77.0
1966500	-449.1373511090791	-39.34693172434574	-409.79041938473335	475.0	0.30130809862892505	0.3013080986289258	0.5379545585839955	5.99652303785325	0.0	78.0	78.0	0.0	78.0
1971000	-430.4318116459871	-24.95767296543754	-405.4741386805496	113.0	0.21755029747438415	0.21755029747438537	0.16137797518654368	1.901354810726364	0.0	76.0	73.0	3.0	76.0
1975500	-437.9325655983662	-26.985362432076126	-410.9472031662901	79.0	0.24564944319794552	0.24564944319794613	0.06044699146962228	0.7515889631729554	0.0	73.0	69.0	4.0	73.0
1980000	-461.9932420901715	-35.278941575627876	-426.71430051454365	306.0	0.29517162446327727	0.29517162446327755	0.7863854619550267	2.375340405020833	0.0	77.0	70.0	7.0	77.0
1984500	-441.5434357791674	-34.4555130363746	-407.0879227427928	289.0	0.2814848931392695	0.281484893139269	0.8432292438882183	2.8518948301216414	0.0	77.0	72.0	5.0	79.0
1989000	-434.9108424490376	-29.12894945356543	-405.78189299547216	485.0	0.25829627232664737	0.25829627232664704	0.1427316295409487	1.4964640819600967	0.0	74.0	70.0	4.0	74.0
1993500	-433.70058610603485	-25.909593634047923	-407.7909924719869	350.0	0.23877823524393169	0.23877823524393138	0.010434621227099752	0.10136358995168278	0.0	79.0	77.0	2.0	79.0
1998000	-429.3937755517361	-29.21759563538844	-400.1761799163477	425.0	0.24306943727417743	0.24306943727417787	0.7633558340963701	2.322139315509532	0.0	75.0	70.0	5.0	75.0
2002500	-437.57954503708254	-22.752051025239492	-414.82749401184304	115.0	0.20485547821781075	0.20485547821781083	0.04496248234733295	0.377227983452747	0.0	77.0	73.0	4.0	77.0
